,Q CPU Wins,Q CPU Loses,Draws,Total Games Played
0,16749,16591,16660,50000
0,16703,16615,16682,50000
0,16703,16615,16682,50000
0,16703,16615,16682,50000
0,16703,16615,16682,50000
0,16465,16669,16866,50000
0,16583,16665,16752,50000
0,16504,16641,16855,50000
0,16641,16810,16549,50000
0,0,0,1,1
0,16581,16754,16665,50000
0,16666,16731,16603,50000
0,16823,16645,16532,50000
0,16840,16610,16550,50000
0,16771,16777,16452,50000
0,16721,16617,16662,50000
0,16505,16770,16725,50000
0,16575,16724,16701,50000
0,16487,16670,16843,50000
0,16841,16599,16560,50000
0,16828,16594,16578,50000
0,16715,16551,16734,50000
0,16753,16575,16672,50000
0,16785,16677,16538,50000
0,16727,16585,16688,50000
0,16563,16709,16728,50000

0,16613,16738,16649,50000
