Steps,_id,Player,CPU,Result
0,6112f8803152bfcf243c9cd3,scissors,scissors,0
1,6112f8803152bfcf243c9cd4,rock,rock,0
2,6112f8803152bfcf243c9cd5,rock,paper,-1
3,6112f8803152bfcf243c9cd6,rock,scissors,1
4,6112f8803152bfcf243c9cd7,paper,scissors,-1
5,6112f8803152bfcf243c9cd8,rock,rock,0
6,6112f8803152bfcf243c9cd9,rock,rock,0
7,6112f8803152bfcf243c9cda,paper,scissors,-1
8,6112f8803152bfcf243c9cdb,rock,rock,0
9,6112f8803152bfcf243c9cdc,rock,paper,-1
10,6112f8803152bfcf243c9cdd,rock,rock,0
11,6112f8803152bfcf243c9cde,rock,paper,-1
12,6112f8803152bfcf243c9cdf,scissors,paper,1
13,6112f8803152bfcf243c9ce0,paper,scissors,-1
14,6112f8803152bfcf243c9ce1,paper,rock,1
15,6112f8803152bfcf243c9ce2,paper,scissors,-1
16,6112f8803152bfcf243c9ce3,paper,scissors,-1
17,6112f8803152bfcf243c9ce4,paper,paper,0
18,6112f8803152bfcf243c9ce5,paper,paper,0
19,6112f8803152bfcf243c9ce6,scissors,scissors,0
20,6112f8803152bfcf243c9ce7,scissors,rock,-1
21,6112f8803152bfcf243c9ce8,paper,paper,0
22,6112f8803152bfcf243c9ce9,rock,rock,0
23,6112f8803152bfcf243c9cea,paper,rock,1
24,6112f8803152bfcf243c9ceb,paper,paper,0
25,6112f8803152bfcf243c9cec,paper,rock,1
26,6112f8803152bfcf243c9ced,scissors,scissors,0
27,6112f8803152bfcf243c9cee,rock,rock,0
28,6112f8803152bfcf243c9cef,scissors,scissors,0
29,6112f8803152bfcf243c9cf0,rock,scissors,1
30,6112f8803152bfcf243c9cf1,rock,rock,0
31,6112f8803152bfcf243c9cf2,rock,scissors,1
32,6112f8803152bfcf243c9cf3,paper,scissors,-1
33,6112f8803152bfcf243c9cf4,rock,scissors,1
34,6112f8803152bfcf243c9cf5,rock,rock,0
35,6112f8803152bfcf243c9cf6,rock,paper,-1
36,6112f8803152bfcf243c9cf7,rock,scissors,1
37,6112f8803152bfcf243c9cf8,rock,rock,0
38,6112f8803152bfcf243c9cf9,paper,paper,0
39,6112f8803152bfcf243c9cfa,paper,rock,1
40,6112f8803152bfcf243c9cfb,scissors,paper,1
41,6112f8803152bfcf243c9cfc,rock,scissors,1
42,6112f8803152bfcf243c9cfd,paper,paper,0
43,6112f8803152bfcf243c9cfe,rock,scissors,1
44,6112f8803152bfcf243c9cff,scissors,paper,1
45,6112f8803152bfcf243c9d00,scissors,scissors,0
46,6112f8803152bfcf243c9d01,rock,scissors,1
47,6112f8803152bfcf243c9d02,rock,paper,-1
48,6112f8803152bfcf243c9d03,rock,scissors,1
49,6112f8803152bfcf243c9d04,scissors,rock,-1
50,6112f8803152bfcf243c9d05,paper,scissors,-1
51,6112f8803152bfcf243c9d06,scissors,scissors,0
52,6112f8803152bfcf243c9d07,scissors,paper,1
53,6112f8803152bfcf243c9d08,rock,scissors,1
54,6112f8803152bfcf243c9d09,scissors,paper,1
55,6112f8803152bfcf243c9d0a,paper,rock,1
56,6112f8803152bfcf243c9d0b,scissors,scissors,0
57,6112f8803152bfcf243c9d0c,rock,scissors,1
58,6112f8803152bfcf243c9d0d,scissors,rock,-1
59,6112f8803152bfcf243c9d0e,paper,rock,1
60,6112f8803152bfcf243c9d0f,scissors,scissors,0
61,6112f8803152bfcf243c9d10,rock,paper,-1
62,6112f8803152bfcf243c9d11,scissors,scissors,0
63,6112f8803152bfcf243c9d12,paper,rock,1
64,6112f8803152bfcf243c9d13,scissors,scissors,0
65,6112f8803152bfcf243c9d14,rock,rock,0
66,6112f8803152bfcf243c9d15,scissors,paper,1
67,6112f8803152bfcf243c9d16,scissors,scissors,0
68,6112f8803152bfcf243c9d17,scissors,rock,-1
69,6112f8803152bfcf243c9d18,scissors,scissors,0
70,6112f8803152bfcf243c9d19,paper,paper,0
71,6112f8803152bfcf243c9d1a,paper,paper,0
72,6112f8803152bfcf243c9d1b,rock,paper,-1
73,6112f8803152bfcf243c9d1c,paper,paper,0
74,6112f8803152bfcf243c9d1d,rock,scissors,1
75,6112f8803152bfcf243c9d1e,scissors,scissors,0
76,6112f8803152bfcf243c9d1f,scissors,scissors,0
77,6112f8803152bfcf243c9d20,paper,scissors,-1
78,6112f8803152bfcf243c9d21,paper,paper,0
79,6112f8803152bfcf243c9d22,paper,rock,1
80,6112f8803152bfcf243c9d23,rock,paper,-1
81,6112f8803152bfcf243c9d24,paper,rock,1
82,6112f8803152bfcf243c9d25,paper,rock,1
83,6112f8803152bfcf243c9d26,scissors,rock,-1
84,6112f8803152bfcf243c9d27,rock,scissors,1
85,6112f8803152bfcf243c9d28,paper,rock,1
86,6112f8803152bfcf243c9d29,scissors,scissors,0
